ticker,price_2024
RRRP3,#N/A
RSID3,"2,80"
RSUL3,#N/A
RSUL4,"54,99"
SANB11,"23,82"
SANB3,"11,30"
SANB4,"12,56"
SAPR11,"27,79"
SAPR3,"5,54"
SAPR4,"5,62"
SBFG3,"10,72"
SBSP3,#N/A
SCAR3,"21,10"
SEER3,"4,50"
SEQL3,"4,51"
SGPS3,#N/A
SHOW3,"0,67"
SHUL3,"1,00"
SHUL4,"5,82"
SIMH3,"3,51"
SLCE3,"17,50"
SLED3,#N/A
SLED4,#N/A
SMFT3,"16,96"
SMTO3,"23,26"
SNSY3,"10,75"
SNSY5,"3,87"
SNSY6,#N/A
SOJA3,"10,40"
SOMA3,#N/A
SOND3,#N/A
SOND5,"40,50"
SOND6,"45,50"
SQIA3,#N/A
STBP3,"13,13"
STKF3,#N/A
STTR3,#N/A
SULA11,#N/A
SULA3,#N/A
SULA4,#N/A
SUZB3,#N/A
SYNE3,"5,54"
TAEE11,"32,86"
TAEE3,"10,91"
TAEE4,"11,07"
TASA3,"8,78"
TASA4,"8,25"
TCNO3,#N/A
TCNO4,#N/A
TCSA3,"1,25"
TECN3,"5,51"
TEKA3,#N/A
TEKA4,"32,99"
TELB3,"12,80"
TELB4,"7,30"
TEND3,"12,44"
TFCO4,"8,88"
TGMA3,"28,63"
TIMS3,#N/A
TKNO3,"50,02"
TKNO4,"61,00"
TOTS3,"26,75"
TPIS3,"5,15"
TRAD3,"6,99"
TRIS3,"4,41"
TRPL3,#N/A
TRPL4,#N/A
TTEN3,"13,74"
TUPY3,"23,90"
TXRX3,#N/A
TXRX4,"2,10"
UCAS3,"1,90"
UGPA3,"15,88"
UNIP3,"46,20"
UNIP5,"48,51"
UNIP6,"47,78"
UPKP3B,#N/A
USIM3,"5,32"
USIM5,"5,32"
USIM6,"9,01"
VALE3,#N/A
VAMO3,"4,75"
VBBR3,"17,84"
VIIA3,#N/A
VITT3,"5,40"
VIVA3,"19,25"
VIVR3,"1,18"
VIVT3,#N/A
VLID3,"24,30"
VSPT3,#N/A
VSPT4,#N/A
VULC3,"15,53"
VVEO3,"2,05"
WEGE3,#N/A
WEST3,"5,00"
WHRL3,"3,84"
WHRL4,"4,22"
WIZS3,#N/A
WLMM3,"24,85"
WLMM4,"30,00"
YDUQ3,"8,55"
YDUQ3,"8,55"
WLMM4,"30,00"
YDUQ3,"8,55"
WLMM4,"30,00"
YDUQ3,"8,55"
MXRF11,"9,37"
VGIR11,"9,29"
VGHF11,"7,62"
HCTR11,"18,12"
BTCI11,"8,68"
KISU11,"7,10"
KNCR11,"102,99"
IRDM11,"62,81"
MCHF11,#N/A
KNIP11,"90,30"
DEVA11,"29,24"
VSLH11,"3,14"
WHGR11,"8,66"
TORD11,"0,88"
ARRI11,"8,18"
MCCI11,"80,40"
XPSF11,"6,39"
CPTS11,"6,83"
XPML11,"97,67"
BLMR11,#N/A
KNRE11,"0,25"
RECR11,"74,54"
HGRU11,"117,93"
RBRR11,"82,75"
XPLG11,"94,10"
KNSC11,"8,83"
RZAK11,"76,99"
TGAR11,"88,29"
JSRE11,"57,03"
HGCR11,"98,26"
VILG11,"74,60"
HGLG11,"156,13"
URPR11,"59,45"
GALG11,#N/A
BBPO11,#N/A
VCJR11,"76,52"
HSML11,"72,91"
CVBI11,"84,00"
BTLG11,"93,86"
VIUR11,"5,95"
